Easy Function: f(x) = x^2 - 2
Метод,Сходимость,Кол-во итераций,Точность,Требование производной,Чувствительность
Brute-force,Да,N/A,1.00e+00,Нет,Низкая
Bisect,Да,40,4.47e-12,Нет,Низкая
Newton,Да,5,4.44e-16,Да,Высокая
Secant,Да,6,8.88e-16,Нет,Высокая
Brentq,Да,8,4.44e-16,Нет,Низкая

Medium Function: f(x) = sin(x) - 0.5x
Метод,Сходимость,Кол-во итераций,Точность,Требование производной,Чувствительность
Brute-force,Да,N/A,1.36e+00,Нет,Низкая
Bisect,Да,40,4.53e-13,Нет,Низкая
Newton,Да,4,0.00e+00,Да,Высокая
Secant,Да,5,0.00e+00,Нет,Высокая
Brentq,Да,10,3.33e-16,Нет,Низкая

Hard Function: f(x) = xe^(-x) - 0.1
Метод,Сходимость,Кол-во итераций,Точность,Требование производной,Чувствительность
Brute-force,Да,N/A,1.00e-01,Нет,Низкая
Bisect,Да,39,8.86e-13,Нет,Низкая
Newton,Да,4,0.00e+00,Да,Высокая
Secant,Да,4,4.16e-16,Нет,Высокая
Brentq,Да,8,1.13e-13,Нет,Низкая

